[공평동],114020,1,신평마을,2000.12.,132.0,15.82,52.32,11.65,38.52,132,,,,,,,,,2,1,복도식,52,10.0,9.0,https://new.land.naver.com/complexes/114020?tab=detail&rf=Y,경상북도 문경시 공평동 404-13,경상북도,문경시,공평동,,,경상북도 문경시 공평로 58-9,0.0,155,24,41.0,0.31
[모전동],112733,1,뉴글로벌시티,2016.10.,84.0,23.49,77.67,18.04,59.66,13,,,,,,,,,3,1,계단식,77A,14.0,11.0,https://new.land.naver.com/complexes/112733?tab=detail&rf=Y,경상북도 문경시 모전동 914-5,경상북도,문경시,모전동,,,경상북도 문경시 매봉로 61,0.0,247,29,86.0,1.02
[모전동],112733,2,뉴글로벌시티,2016.10.,84.0,25.26,83.51,18.04,59.66,10,,,,,,,,,3,1,계단식,83B,14.0,11.0,https://new.land.naver.com/complexes/112733?tab=detail&rf=Y,경상북도 문경시 모전동 914-5,경상북도,문경시,모전동,,,경상북도 문경시 매봉로 61,0.0,247,29,86.0,1.02
[모전동],112733,3,뉴글로벌시티,2016.10.,84.0,32.68,108.04,25.6,84.65,26,,,,,,,,,3,2,계단식,108A,14.0,11.0,https://new.land.naver.com/complexes/112733?tab=detail&rf=Y,경상북도 문경시 모전동 914-5,경상북도,문경시,모전동,,,경상북도 문경시 매봉로 61,0.0,247,29,86.0,1.02
[모전동],112733,4,뉴글로벌시티,2016.10.,84.0,32.95,108.93,25.61,84.69,12,,,,,,,,,3,2,계단식,108B,14.0,11.0,https://new.land.naver.com/complexes/112733?tab=detail&rf=Y,경상북도 문경시 모전동 914-5,경상북도,문경시,모전동,,,경상북도 문경시 매봉로 61,0.0,247,29,86.0,1.02
[모전동],112733,5,뉴글로벌시티,2016.10.,84.0,33.6,111.1,25.62,84.71,13,,,,,,,,,3,2,계단식,111C,14.0,11.0,https://new.land.naver.com/complexes/112733?tab=detail&rf=Y,경상북도 문경시 모전동 914-5,경상북도,문경시,모전동,,,경상북도 문경시 매봉로 61,0.0,247,29,86.0,1.02
[모전동],112733,6,뉴글로벌시티,2016.10.,84.0,36.11,119.38,25.62,84.71,10,,,,,,,,,3,2,계단식,119D,14.0,11.0,https://new.land.naver.com/complexes/112733?tab=detail&rf=Y,경상북도 문경시 모전동 914-5,경상북도,문경시,모전동,,,경상북도 문경시 매봉로 61,0.0,247,29,86.0,1.02
[모전동],119888,1,승창아이빌,2008.02.,18.0,32.58,107.73,25.6,84.66,16,,,,,,,,,3,2,계단식,107,9.0,9.0,https://new.land.naver.com/complexes/119888?tab=detail&rf=Y,경상북도 문경시 모전동 948-8,경상북도,문경시,모전동,,,경상북도 문경시 상신로 109,0.0,155,22,19.0,1.06
[모전동],119888,2,승창아이빌,2008.02.,18.0,32.37,107.01,25.6,84.66,2,,,,,,,,,3,2,계단식,107,9.0,9.0,https://new.land.naver.com/complexes/119888?tab=detail&rf=Y,경상북도 문경시 모전동 948-8,경상북도,문경시,모전동,,,경상북도 문경시 상신로 109,0.0,155,22,19.0,1.06
[모전동],113774,1,무지개맨션2차,1993.11.,49.0,20.27,67.04,18.11,59.89,20,,,,,,,,,3,1,계단식,67,6.0,6.0,https://new.land.naver.com/complexes/113774?tab=detail&rf=Y,경상북도 문경시 모전동 106-2,경상북도,문경시,모전동,,,경상북도 문경시 새동네2길 20,0.0,175,33,31.0,0.63
[모전동],113774,2,무지개맨션2차,1993.11.,49.0,21.99,72.71,17.51,57.89,5,,,,,,,,,3,1,계단식,72,6.0,6.0,https://new.land.naver.com/complexes/113774?tab=detail&rf=Y,경상북도 문경시 모전동 106-2,경상북도,문경시,모전동,,,경상북도 문경시 새동네2길 20,0.0,175,33,31.0,0.63
[모전동],113774,3,무지개맨션2차,1993.11.,49.0,27.75,91.76,25.21,83.36,24,,,,,,,,,3,2,계단식,91,6.0,6.0,https://new.land.naver.com/complexes/113774?tab=detail&rf=Y,경상북도 문경시 모전동 106-2,경상북도,문경시,모전동,,,경상북도 문경시 새동네2길 20,0.0,175,33,31.0,0.63
